"count","APOLLO_SV","APOLLO_SV_00000032"
"diltiazem","CHEBI","CHEBI_101278"
"NAD","CHEBI","CHEBI_13389"
"polynucleotide","CHEBI","CHEBI_15986"
"NADPH","CHEBI","CHEBI_16474"
"glutathione","CHEBI","CHEBI_16856"
"NADH","CHEBI","CHEBI_16908"
"UDP-alpha-D-glucuronic acid","CHEBI","CHEBI_17200"
"3'-phospho-5'-adenylyl sulfate","CHEBI","CHEBI_17980"
"delta-lactone","CHEBI","CHEBI_18946"
"benzimidazoles","CHEBI","CHEBI_22715"
"molecular entity","CHEBI","CHEBI_23367"
"diazole","CHEBI","CHEBI_23677"
"chemical entity","CHEBI","CHEBI_24431"
"biological role","CHEBI","CHEBI_24432"
"organic heterocyclic compound","CHEBI","CHEBI_24532"
"hydroxy carboxylic acid","CHEBI","CHEBI_24669"
"imidazoles","CHEBI","CHEBI_24780"
"lactone","CHEBI","CHEBI_25000"
"metabolite","CHEBI","CHEBI_25212"
"phenoxazine","CHEBI","CHEBI_25970"
"amiodarone","CHEBI","CHEBI_2663"
"organic heterotricyclic compound","CHEBI","CHEBI_26979"
"organic heterobicyclic compound","CHEBI","CHEBI_27171"
"dextrorphan","CHEBI","CHEBI_29133"
"coordination entity","CHEBI","CHEBI_33240"
"heteroorganic entity","CHEBI","CHEBI_33285"
"carboxylic ester","CHEBI","CHEBI_33308"
"carboxylic acid","CHEBI","CHEBI_33575"
"main group molecular entity","CHEBI","CHEBI_33579"
"carbon group molecular entity","CHEBI","CHEBI_33582"
"p-block molecular entity","CHEBI","CHEBI_33675"
"biomacromolecule","CHEBI","CHEBI_33694"
"information biomacromolecule","CHEBI","CHEBI_33695"
"nucleic acid","CHEBI","CHEBI_33696"
"ribonucleic acid","CHEBI","CHEBI_33697"
"organic cyclic compound","CHEBI","CHEBI_33832"
"heteroarene","CHEBI","CHEBI_33833"
"macromolecule","CHEBI","CHEBI_33839"
"magnesium coordination entity","CHEBI","CHEBI_33976"
"7-ethoxyresorufin","CHEBI","CHEBI_34480"
"metalloprotein","CHEBI","CHEBI_35134"
"iron protein","CHEBI","CHEBI_35136"
"hemoprotein","CHEBI","CHEBI_35137"
"alkaline earth coordination entity","CHEBI","CHEBI_35217"
