URI_1,URI_2,relationship_id
APOLLO_SV_00000032,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000032,44818723
APOLLO_SV_00000032,IAO_0000109,44818821
IAO_0000109,APOLLO_SV_00000032,44818723
IAO_0000109,IAO_0000027,44818821
IAO_0000027,IAO_0000109,44818723
IAO_0000027,IAO_0000030,44818821
IAO_0000030,IAO_0000027,44818723
IAO_0000030,BFO_0000031,44818821
BFO_0000031,IAO_0000030,44818723
CHEBI_101278,CHEBI_101278,44818821
CHEBI_101278,CHEBI_101278,44818723
CHEBI_101278,CHEBI_82814,44818821
CHEBI_82814,CHEBI_101278,44818723
CHEBI_82814,CHEBI_48684,44818821
CHEBI_48684,CHEBI_82814,44818723
CHEBI_48684,CHEBI_27171,44818821
CHEBI_27171,CHEBI_48684,44818723
CHEBI_27171,CHEBI_38166,44818821
CHEBI_38166,CHEBI_27171,44818723
CHEBI_13389,CHEBI_13389,44818821
CHEBI_13389,CHEBI_13389,44818723
CHEBI_13389,CHEBI_25524,44818821
CHEBI_25524,CHEBI_13389,44818723
CHEBI_25524,CHEBI_37007,44818821
CHEBI_37007,CHEBI_25524,44818723
CHEBI_37007,CHEBI_25527,44818821
CHEBI_25527,CHEBI_37007,44818723
CHEBI_25527,CHEBI_36980,44818821
CHEBI_36980,CHEBI_25527,44818723
CHEBI_15986,CHEBI_15986,44818821
CHEBI_15986,CHEBI_15986,44818723
CHEBI_15986,CHEBI_61120,44818821
CHEBI_61120,CHEBI_15986,44818723
CHEBI_61120,CHEBI_33833,44818821
CHEBI_33833,CHEBI_61120,44818723
CHEBI_33833,CHEBI_24532,44818821
CHEBI_24532,CHEBI_33833,44818723
CHEBI_24532,CHEBI_33832,44818821
CHEBI_33832,CHEBI_24532,44818723
CHEBI_16474,CHEBI_16474,44818821
CHEBI_16474,CHEBI_16474,44818723
CHEBI_16474,CHEBI_25523,44818821
CHEBI_25523,CHEBI_16474,44818723
CHEBI_25523,CHEBI_25524,44818821
CHEBI_25524,CHEBI_25523,44818723
CHEBI_25524,CHEBI_37007,44818821
CHEBI_37007,CHEBI_25524,44818723
CHEBI_37007,CHEBI_25527,44818821
CHEBI_25527,CHEBI_37007,44818723
CHEBI_16856,CHEBI_16856,44818821
CHEBI_16856,CHEBI_16856,44818723
CHEBI_16856,CHEBI_47923,44818821
CHEBI_47923,CHEBI_16856,44818723
CHEBI_47923,CHEBI_25676,44818821
CHEBI_25676,CHEBI_47923,44818723
CHEBI_25676,CHEBI_16670,44818821
CHEBI_16670,CHEBI_25676,44818723
CHEBI_16670,CHEBI_37622,44818821
CHEBI_37622,CHEBI_16670,44818723
CHEBI_16908,CHEBI_16908,44818821
CHEBI_16908,CHEBI_16908,44818723
CHEBI_16908,CHEBI_13392,44818821
CHEBI_13392,CHEBI_16908,44818723
CHEBI_13392,CHEBI_25524,44818821
CHEBI_25524,CHEBI_13392,44818723
CHEBI_25524,CHEBI_37007,44818821
CHEBI_37007,CHEBI_25524,44818723
CHEBI_37007,CHEBI_25527,44818821
CHEBI_25527,CHEBI_37007,44818723
CHEBI_17200,CHEBI_17200,44818821
CHEBI_17200,CHEBI_17200,44818723
CHEBI_17200,CHEBI_17297,44818821
CHEBI_17297,CHEBI_17200,44818723
CHEBI_17297,CHEBI_61109,44818821
CHEBI_61109,CHEBI_17297,44818723
CHEBI_61109,CHEBI_25609,44818821
CHEBI_25609,CHEBI_61109,44818723
CHEBI_25609,CHEBI_35241,44818821
CHEBI_35241,CHEBI_25609,44818723
CHEBI_17980,CHEBI_17980,44818821
CHEBI_17980,CHEBI_17980,44818723
CHEBI_17980,CHEBI_22251,44818821
CHEBI_22251,CHEBI_17980,44818723
CHEBI_22251,CHEBI_22256,44818821
CHEBI_22256,CHEBI_22251,44818723
CHEBI_22256,CHEBI_61296,44818821
CHEBI_61296,CHEBI_22256,44818723
CHEBI_61296,CHEBI_26400,44818821
CHEBI_26400,CHEBI_61296,44818723
CHEBI_18946,CHEBI_18946,44818821
CHEBI_18946,CHEBI_18946,44818723
CHEBI_18946,CHEBI_25000,44818821
CHEBI_25000,CHEBI_18946,44818723
CHEBI_25000,CHEBI_33308,44818821
CHEBI_33308,CHEBI_25000,44818723
CHEBI_33308,CHEBI_35701,44818821
CHEBI_35701,CHEBI_33308,44818723
CHEBI_35701,CHEBI_36963,44818821
CHEBI_36963,CHEBI_35701,44818723
CHEBI_22715,CHEBI_22715,44818821
CHEBI_22715,CHEBI_22715,44818723
CHEBI_22715,CHEBI_27171,44818821
CHEBI_27171,CHEBI_22715,44818723
CHEBI_27171,CHEBI_38166,44818821
CHEBI_38166,CHEBI_27171,44818723
CHEBI_38166,CHEBI_24532,44818821
CHEBI_24532,CHEBI_38166,44818723
CHEBI_24532,CHEBI_33832,44818821
CHEBI_33832,CHEBI_24532,44818723
CHEBI_23367,CHEBI_23367,44818821
CHEBI_23367,CHEBI_23367,44818723
CHEBI_23367,CHEBI_24431,44818821
CHEBI_24431,CHEBI_23367,44818723
CHEBI_23677,CHEBI_23677,44818821
CHEBI_23677,CHEBI_23677,44818723
CHEBI_23677,CHEBI_68452,44818821
CHEBI_68452,CHEBI_23677,44818723
CHEBI_68452,CHEBI_38179,44818821
CHEBI_38179,CHEBI_68452,44818723
CHEBI_38179,CHEBI_33833,44818821
CHEBI_33833,CHEBI_38179,44818723
CHEBI_33833,CHEBI_24532,44818821
CHEBI_24532,CHEBI_33833,44818723
CHEBI_24432,CHEBI_24432,44818821
CHEBI_24432,CHEBI_24432,44818723
CHEBI_24432,CHEBI_50906,44818821
CHEBI_50906,CHEBI_24432,44818723
CHEBI_24532,CHEBI_24532,44818821
CHEBI_24532,CHEBI_24532,44818723
CHEBI_24532,CHEBI_33832,44818821
CHEBI_33832,CHEBI_24532,44818723
CHEBI_33832,CHEBI_72695,44818821
CHEBI_72695,CHEBI_33832,44818723
CHEBI_72695,CHEBI_50860,44818821
CHEBI_50860,CHEBI_72695,44818723
CHEBI_50860,CHEBI_33582,44818821
CHEBI_33582,CHEBI_50860,44818723
CHEBI_24669,CHEBI_24669,44818821
CHEBI_24669,CHEBI_24669,44818723
CHEBI_24669,CHEBI_33575,44818821
CHEBI_33575,CHEBI_24669,44818723
CHEBI_33575,CHEBI_35605,44818821
CHEBI_35605,CHEBI_33575,44818723
CHEBI_35605,CHEBI_36963,44818821
CHEBI_36963,CHEBI_35605,44818723
CHEBI_36963,CHEBI_36962,44818821
CHEBI_36962,CHEBI_36963,44818723
CHEBI_24780,CHEBI_24780,44818821
CHEBI_24780,CHEBI_24780,44818723
CHEBI_24780,CHEBI_23677,44818821
CHEBI_23677,CHEBI_24780,44818723
CHEBI_23677,CHEBI_68452,44818821
CHEBI_68452,CHEBI_23677,44818723
CHEBI_68452,CHEBI_38179,44818821
CHEBI_38179,CHEBI_68452,44818723
CHEBI_38179,CHEBI_33833,44818821
CHEBI_33833,CHEBI_38179,44818723
CHEBI_25000,CHEBI_25000,44818821
CHEBI_25000,CHEBI_25000,44818723
CHEBI_25000,CHEBI_33308,44818821
CHEBI_33308,CHEBI_25000,44818723
CHEBI_33308,CHEBI_35701,44818821
CHEBI_35701,CHEBI_33308,44818723
CHEBI_35701,CHEBI_36963,44818821
CHEBI_36963,CHEBI_35701,44818723
CHEBI_36963,CHEBI_36962,44818821
CHEBI_36962,CHEBI_36963,44818723
CHEBI_25212,CHEBI_25212,44818821
CHEBI_25212,CHEBI_25212,44818723
CHEBI_25212,CHEBI_52206,44818821
CHEBI_52206,CHEBI_25212,44818723
CHEBI_52206,CHEBI_24432,44818821
CHEBI_24432,CHEBI_52206,44818723
CHEBI_24432,CHEBI_50906,44818821
CHEBI_50906,CHEBI_24432,44818723
CHEBI_25970,CHEBI_25970,44818821
CHEBI_25970,CHEBI_25970,44818723
CHEBI_25970,CHEBI_26979,44818821
CHEBI_26979,CHEBI_25970,44818723
CHEBI_26979,CHEBI_51959,44818821
CHEBI_51959,CHEBI_26979,44818723
CHEBI_51959,CHEBI_51958,44818821
CHEBI_51958,CHEBI_51959,44818723
CHEBI_51958,CHEBI_33832,44818821
CHEBI_33832,CHEBI_51958,44818723
CHEBI_2663,CHEBI_2663,44818821
CHEBI_2663,CHEBI_2663,44818723
CHEBI_2663,CHEBI_76224,44818821
CHEBI_76224,CHEBI_2663,44818723
CHEBI_76224,CHEBI_17087,44818821
CHEBI_17087,CHEBI_76224,44818723
CHEBI_17087,CHEBI_36586,44818821
CHEBI_36586,CHEBI_17087,44818723
CHEBI_36586,CHEBI_36963,44818821
CHEBI_36963,CHEBI_36586,44818723
CHEBI_26979,CHEBI_26979,44818821
CHEBI_26979,CHEBI_26979,44818723
CHEBI_26979,CHEBI_51959,44818821
CHEBI_51959,CHEBI_26979,44818723
CHEBI_51959,CHEBI_51958,44818821
CHEBI_51958,CHEBI_51959,44818723
CHEBI_51958,CHEBI_33832,44818821
CHEBI_33832,CHEBI_51958,44818723
CHEBI_33832,CHEBI_72695,44818821
CHEBI_72695,CHEBI_33832,44818723
CHEBI_27171,CHEBI_27171,44818821
CHEBI_27171,CHEBI_27171,44818723
CHEBI_27171,CHEBI_38166,44818821
CHEBI_38166,CHEBI_27171,44818723
CHEBI_38166,CHEBI_24532,44818821
CHEBI_24532,CHEBI_38166,44818723
CHEBI_24532,CHEBI_33832,44818821
CHEBI_33832,CHEBI_24532,44818723
CHEBI_33832,CHEBI_72695,44818821
CHEBI_72695,CHEBI_33832,44818723
CHEBI_29133,CHEBI_29133,44818821
CHEBI_29133,CHEBI_29133,44818723
CHEBI_29133,CHEBI_25418,44818821
CHEBI_25418,CHEBI_29133,44818723
CHEBI_25418,CHEBI_24921,44818821
CHEBI_24921,CHEBI_25418,44818723
CHEBI_24921,CHEBI_22315,44818821
CHEBI_22315,CHEBI_24921,44818723
CHEBI_22315,CHEBI_35352,44818821
CHEBI_35352,CHEBI_22315,44818723
CHEBI_33240,CHEBI_33240,44818821
CHEBI_33240,CHEBI_33240,44818723
CHEBI_33240,CHEBI_37577,44818821
CHEBI_37577,CHEBI_33240,44818723
CHEBI_37577,CHEBI_36357,44818821
CHEBI_36357,CHEBI_37577,44818723
CHEBI_36357,CHEBI_23367,44818821
CHEBI_23367,CHEBI_36357,44818723
CHEBI_23367,CHEBI_24431,44818821
CHEBI_24431,CHEBI_23367,44818723
CHEBI_33285,CHEBI_33285,44818821
CHEBI_33285,CHEBI_33285,44818723
CHEBI_33285,CHEBI_50860,44818821
CHEBI_50860,CHEBI_33285,44818723
CHEBI_50860,CHEBI_33582,44818821
CHEBI_33582,CHEBI_50860,44818723
CHEBI_33582,CHEBI_33675,44818821
CHEBI_33675,CHEBI_33582,44818723
CHEBI_33675,CHEBI_33579,44818821
CHEBI_33579,CHEBI_33675,44818723
CHEBI_33308,CHEBI_33308,44818821
CHEBI_33308,CHEBI_33308,44818723
CHEBI_33308,CHEBI_35701,44818821
CHEBI_35701,CHEBI_33308,44818723
CHEBI_35701,CHEBI_36963,44818821
CHEBI_36963,CHEBI_35701,44818723
CHEBI_36963,CHEBI_36962,44818821
CHEBI_36962,CHEBI_36963,44818723
CHEBI_36962,CHEBI_33285,44818821
CHEBI_33285,CHEBI_36962,44818723
CHEBI_33575,CHEBI_33575,44818821
CHEBI_33575,CHEBI_33575,44818723
CHEBI_33575,CHEBI_35605,44818821
CHEBI_35605,CHEBI_33575,44818723
CHEBI_35605,CHEBI_36963,44818821
CHEBI_36963,CHEBI_35605,44818723
CHEBI_36963,CHEBI_36962,44818821
CHEBI_36962,CHEBI_36963,44818723
CHEBI_36962,CHEBI_33285,44818821
CHEBI_33285,CHEBI_36962,44818723
CHEBI_33579,CHEBI_33579,44818821
CHEBI_33579,CHEBI_33579,44818723
CHEBI_33579,CHEBI_23367,44818821
CHEBI_23367,CHEBI_33579,44818723
CHEBI_23367,CHEBI_24431,44818821
CHEBI_24431,CHEBI_23367,44818723
CHEBI_33582,CHEBI_33582,44818821
CHEBI_33582,CHEBI_33582,44818723
CHEBI_33582,CHEBI_33675,44818821
CHEBI_33675,CHEBI_33582,44818723
CHEBI_33675,CHEBI_33579,44818821
CHEBI_33579,CHEBI_33675,44818723
CHEBI_33579,CHEBI_23367,44818821
CHEBI_23367,CHEBI_33579,44818723
CHEBI_23367,CHEBI_24431,44818821
CHEBI_24431,CHEBI_23367,44818723
