URI_1,URI_2,relationship_id
APOLLO_SV_00000032,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000032,44818723
APOLLO_SV_00000032,IAO_0000109,44818821
IAO_0000109,APOLLO_SV_00000032,44818723
IAO_0000109,IAO_0000027,44818821
IAO_0000027,IAO_0000109,44818723
IAO_0000027,IAO_0000030,44818821
IAO_0000030,IAO_0000027,44818723
IAO_0000030,BFO_0000031,44818821
BFO_0000031,IAO_0000030,44818723
APOLLO_SV_00000032,APOLLO_SV_00000018,44818821
APOLLO_SV_00000018,APOLLO_SV_00000032,44818723
APOLLO_SV_00000087,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000087,44818723
APOLLO_SV_00000088,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000088,44818723
APOLLO_SV_00000137,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000137,44818723
APOLLO_SV_00000497,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000497,44818723
APOLLO_SV_00000019,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000019,44818723
APOLLO_SV_00000020,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000020,44818723
APOLLO_SV_00000021,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000021,44818723
APOLLO_SV_00000022,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000022,44818723
APOLLO_SV_00000098,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000098,44818723
APOLLO_SV_00000099,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000099,44818723
APOLLO_SV_00000281,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,APOLLO_SV_00000281,44818723
STATO_0000088,APOLLO_SV_00000032,44818821
APOLLO_SV_00000032,STATO_0000088,44818723
CHEBI_101278,CHEBI_101278,44818821
CHEBI_101278,CHEBI_101278,44818723
CHEBI_101278,CHEBI_82814,44818821
CHEBI_82814,CHEBI_101278,44818723
CHEBI_82814,CHEBI_48684,44818821
CHEBI_48684,CHEBI_82814,44818723
CHEBI_48684,CHEBI_27171,44818821
CHEBI_27171,CHEBI_48684,44818723
CHEBI_27171,CHEBI_38166,44818821
CHEBI_38166,CHEBI_27171,44818723
CHEBI_13389,CHEBI_13389,44818821
CHEBI_13389,CHEBI_13389,44818723
CHEBI_13389,CHEBI_25524,44818821
CHEBI_25524,CHEBI_13389,44818723
CHEBI_25524,CHEBI_37007,44818821
CHEBI_37007,CHEBI_25524,44818723
CHEBI_37007,CHEBI_25527,44818821
CHEBI_25527,CHEBI_37007,44818723
CHEBI_25527,CHEBI_36980,44818821
CHEBI_36980,CHEBI_25527,44818723
CHEBI_13389,CHEBI_15846,44818821
CHEBI_15846,CHEBI_13389,44818723
CHEBI_16908,CHEBI_13389,44818821
CHEBI_13389,CHEBI_16908,44818723
CHEBI_26916,CHEBI_13389,44818821
CHEBI_13389,CHEBI_26916,44818723
CHEBI_44215,CHEBI_13389,44818821
CHEBI_13389,CHEBI_44215,44818723
CHEBI_90171,CHEBI_13389,44818821
CHEBI_13389,CHEBI_90171,44818723
CHEBI_90174,CHEBI_13389,44818821
CHEBI_13389,CHEBI_90174,44818723
CHEBI_15986,CHEBI_15986,44818821
CHEBI_15986,CHEBI_15986,44818723
CHEBI_15986,CHEBI_61120,44818821
CHEBI_61120,CHEBI_15986,44818723
CHEBI_61120,CHEBI_33833,44818821
CHEBI_33833,CHEBI_61120,44818723
CHEBI_33833,CHEBI_24532,44818821
CHEBI_24532,CHEBI_33833,44818723
CHEBI_24532,CHEBI_33832,44818821
CHEBI_33832,CHEBI_24532,44818723
CHEBI_15986,CHEBI_73276,44818821
CHEBI_73276,CHEBI_15986,44818723
CHEBI_73277,CHEBI_15986,44818821
CHEBI_15986,CHEBI_73277,44818723
CHEBI_73278,CHEBI_15986,44818821
CHEBI_15986,CHEBI_73278,44818723
CHEBI_73279,CHEBI_15986,44818821
CHEBI_15986,CHEBI_73279,44818723
CHEBI_73300,CHEBI_15986,44818821
CHEBI_15986,CHEBI_73300,44818723
CHEBI_33696,CHEBI_15986,44818821
CHEBI_15986,CHEBI_33696,44818723
CHEBI_75607,CHEBI_15986,44818821
CHEBI_15986,CHEBI_75607,44818723
CHEBI_75980,CHEBI_15986,44818821
CHEBI_15986,CHEBI_75980,44818723
CHEBI_76043,CHEBI_15986,44818821
CHEBI_15986,CHEBI_76043,44818723
CHEBI_76777,CHEBI_15986,44818821
CHEBI_15986,CHEBI_76777,44818723
CHEBI_84498,CHEBI_15986,44818821
CHEBI_15986,CHEBI_84498,44818723
CHEBI_1981,CHEBI_15986,44818821
CHEBI_15986,CHEBI_1981,44818723
CHEBI_16474,CHEBI_16474,44818821
CHEBI_16474,CHEBI_16474,44818723
CHEBI_16474,CHEBI_25523,44818821
CHEBI_25523,CHEBI_16474,44818723
CHEBI_25523,CHEBI_25524,44818821
CHEBI_25524,CHEBI_25523,44818723
CHEBI_16856,CHEBI_16856,44818821
CHEBI_16856,CHEBI_16856,44818723
CHEBI_16856,CHEBI_47923,44818821
CHEBI_47923,CHEBI_16856,44818723
CHEBI_47923,CHEBI_25676,44818821
CHEBI_25676,CHEBI_47923,44818723
CHEBI_25676,CHEBI_16670,44818821
CHEBI_16670,CHEBI_25676,44818723
CHEBI_16670,CHEBI_37622,44818821
CHEBI_37622,CHEBI_16670,44818723
CHEBI_16908,CHEBI_16908,44818821
CHEBI_16908,CHEBI_16908,44818723
CHEBI_16908,CHEBI_13392,44818821
CHEBI_13392,CHEBI_16908,44818723
CHEBI_13392,CHEBI_25524,44818821
CHEBI_25524,CHEBI_13392,44818723
CHEBI_17200,CHEBI_17200,44818821
CHEBI_17200,CHEBI_17200,44818723
CHEBI_17200,CHEBI_17297,44818821
CHEBI_17297,CHEBI_17200,44818723
CHEBI_17297,CHEBI_61109,44818821
CHEBI_61109,CHEBI_17297,44818723
CHEBI_61109,CHEBI_25609,44818821
CHEBI_25609,CHEBI_61109,44818723
CHEBI_25609,CHEBI_35241,44818821
CHEBI_35241,CHEBI_25609,44818723
CHEBI_17980,CHEBI_17980,44818821
CHEBI_17980,CHEBI_17980,44818723
CHEBI_17980,CHEBI_22251,44818821
CHEBI_22251,CHEBI_17980,44818723
CHEBI_22251,CHEBI_22256,44818821
CHEBI_22256,CHEBI_22251,44818723
CHEBI_22256,CHEBI_61296,44818821
CHEBI_61296,CHEBI_22256,44818723
CHEBI_61296,CHEBI_26400,44818821
CHEBI_26400,CHEBI_61296,44818723
CHEBI_18946,CHEBI_18946,44818821
CHEBI_18946,CHEBI_18946,44818723
CHEBI_18946,CHEBI_25000,44818821
CHEBI_25000,CHEBI_18946,44818723
CHEBI_25000,CHEBI_33308,44818821
CHEBI_33308,CHEBI_25000,44818723
CHEBI_33308,CHEBI_35701,44818821
CHEBI_35701,CHEBI_33308,44818723
CHEBI_35701,CHEBI_36963,44818821
CHEBI_36963,CHEBI_35701,44818723
CHEBI_18946,CHEBI_27795,44818821
CHEBI_27795,CHEBI_18946,44818723
CHEBI_132850,CHEBI_18946,44818821
CHEBI_18946,CHEBI_132850,44818723
CHEBI_132873,CHEBI_18946,44818821
CHEBI_18946,CHEBI_132873,44818723
CHEBI_27656,CHEBI_18946,44818821
CHEBI_18946,CHEBI_27656,44818723
CHEBI_3740,CHEBI_18946,44818821
CHEBI_18946,CHEBI_3740,44818723
CHEBI_3908,CHEBI_18946,44818821
CHEBI_18946,CHEBI_3908,44818723
CHEBI_488,CHEBI_18946,44818821
CHEBI_18946,CHEBI_488,44818723
CHEBI_6177,CHEBI_18946,44818821
CHEBI_18946,CHEBI_6177,44818723
CHEBI_69906,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69906,44818723
CHEBI_70362,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70362,44818723
CHEBI_70363,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70363,44818723
CHEBI_70369,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70369,44818723
CHEBI_70379,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70379,44818723
CHEBI_70382,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70382,44818723
CHEBI_70383,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70383,44818723
CHEBI_70384,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70384,44818723
CHEBI_70385,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70385,44818723
CHEBI_70386,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70386,44818723
CHEBI_70387,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70387,44818723
CHEBI_70388,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70388,44818723
CHEBI_72792,CHEBI_18946,44818821
CHEBI_18946,CHEBI_72792,44818723
CHEBI_79034,CHEBI_18946,44818821
CHEBI_18946,CHEBI_79034,44818723
CHEBI_79614,CHEBI_18946,44818821
CHEBI_18946,CHEBI_79614,44818723
CHEBI_80630,CHEBI_18946,44818821
CHEBI_18946,CHEBI_80630,44818723
CHEBI_80832,CHEBI_18946,44818821
CHEBI_18946,CHEBI_80832,44818723
CHEBI_83967,CHEBI_18946,44818821
CHEBI_18946,CHEBI_83967,44818723
CHEBI_8988,CHEBI_18946,44818821
CHEBI_18946,CHEBI_8988,44818723
CHEBI_83079,CHEBI_18946,44818821
CHEBI_18946,CHEBI_83079,44818723
CHEBI_90225,CHEBI_18946,44818821
CHEBI_18946,CHEBI_90225,44818723
CHEBI_9135,CHEBI_18946,44818821
CHEBI_18946,CHEBI_9135,44818723
CHEBI_9956,CHEBI_18946,44818821
CHEBI_18946,CHEBI_9956,44818723
CHEBI_9963,CHEBI_18946,44818821
CHEBI_18946,CHEBI_9963,44818723
CHEBI_9966,CHEBI_18946,44818821
CHEBI_18946,CHEBI_9966,44818723
CHEBI_38758,CHEBI_18946,44818821
CHEBI_18946,CHEBI_38758,44818723
CHEBI_16545,CHEBI_18946,44818821
CHEBI_18946,CHEBI_16545,44818723
CHEBI_50130,CHEBI_18946,44818821
CHEBI_18946,CHEBI_50130,44818723
CHEBI_29573,CHEBI_18946,44818821
CHEBI_18946,CHEBI_29573,44818723
CHEBI_40303,CHEBI_18946,44818821
CHEBI_18946,CHEBI_40303,44818723
CHEBI_4354,CHEBI_18946,44818821
CHEBI_18946,CHEBI_4354,44818723
CHEBI_5987,CHEBI_18946,44818821
CHEBI_18946,CHEBI_5987,44818723
CHEBI_6004,CHEBI_18946,44818821
CHEBI_18946,CHEBI_6004,44818723
CHEBI_67849,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67849,44818723
CHEBI_67910,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67910,44818723
CHEBI_68293,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68293,44818723
CHEBI_68294,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68294,44818723
CHEBI_68295,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68295,44818723
CHEBI_68359,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68359,44818723
CHEBI_68360,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68360,44818723
CHEBI_68361,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68361,44818723
CHEBI_68362,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68362,44818723
CHEBI_68363,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68363,44818723
CHEBI_68364,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68364,44818723
CHEBI_68365,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68365,44818723
CHEBI_68366,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68366,44818723
CHEBI_68367,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68367,44818723
CHEBI_68368,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68368,44818723
CHEBI_68369,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68369,44818723
CHEBI_68370,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68370,44818723
CHEBI_68730,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68730,44818723
CHEBI_68805,CHEBI_18946,44818821
